repository,path,category,subsystem,audit_status,audit_method,relevant_findings,changes_required
server,backend/alembic/versions/20260720_0001_initial.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260720_0001_schema.sql,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260720_0002_dashboard_corrections.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260720_0003_weekly_rates.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260720_0004_managed_rate_sources.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260720_0005_user_access_interface_text.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260720_0006_status_indicators_layout.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260721_0007_dashboard_information_architecture.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260721_0008_utility_accounts_network_policy.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260723_0009_tiered_hybrid_rates.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260724_0010_utility_bill_imports.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260724_0011_user_lifecycle_cleanup.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260724_0012_modern_workspaces_site_lifecycle.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260724_0013_bill_import_context_stabilization.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260724_0014_strict_sce_parser_rate_plan_lifecycle.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260724_0015_bill_import_history_visibility.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260725_0016_normalized_bill_and_confidence.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260725_0017_rate_assignment_lifecycle_source_runs.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260729_0018_single_sensor_home_aggregate.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260730_0019_backup_lifecycle.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260730_0020_replace_all_backups.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260730_0021_bill_tariff_usage_boundary.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260731_0022_strict_viewer_permissions.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260731_0023_detailed_notifications.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260731_0024_dashboard_appearance.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260731_0025_sensor_storage_controls.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260802_0026_existing_trust_ota.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260803_0027_ota_reconciliation.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260803_0028_ota_lifecycle_terminalization.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260803_0029_history_coarse_indexes.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260803_0030_ota_waiting_schedule.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260806_0031_data_only_reset.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260806_0032_headless_agent_commands.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/alembic/versions/20260806_0033_headless_hardware_evidence.py,first-party-text,database-migrations,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/__init__.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/access.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/__init__.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/deps.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/__init__.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/access_control.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/account_network.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/agent_protocol.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/auth.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/bill_imports.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/data_reset.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/device_protocol.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",Heartbeat/report races used split transition logic.,Route transitions through the row-locked lifecycle service and retain attempt-scoped evidence.
server,backend/app/api/routes/exports.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/firmware.py,first-party-text,firmware-lifecycle,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",Baseline reconciliation was partly request-triggered and allowed stale nonterminal deployments.,"Use the centralized, monotonic lifecycle service and persisted terminalization timestamps."
server,backend/app/api/routes/interface_text.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/logs.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/management.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/rate_management.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/rates.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/site_management.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/status_indicators.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/system.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/test_mode.py,test-or-simulator,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/api/routes/tiered_rates.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/billing_sources.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/bills/__init__.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/bills/extraction.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/bills/sce.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/bills/service.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/config.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/configuration_status.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/data_reset/__init__.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/data_reset/sensor_client.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/data_reset/service.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/db/__init__.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/db/base.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/db/models.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/db/session.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/firmware_images.py,first-party-text,firmware-lifecycle,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/firmware_lifecycle.py,first-party-text,firmware-lifecycle,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/formatting.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/history.py,first-party-text,history-backend,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates","Baseline hydrated broad ORM rows and performed unrequested rate, tier, and series work.","Use a metric-aware execution plan, narrow projections, bounded output, and indexed tier lookup."
server,backend/app/home_aggregate.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/ingestion/__init__.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/ingestion/service.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/interface_text.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/live_measurements.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/logging.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/main.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/network_policy.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/notifications.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/ota.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/polling/__init__.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/polling/ssrf.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/problem.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/rates/__init__.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/rates/assignments.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/rates/candidates.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/rates/documents.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/rates/engine.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/rates/notifications.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/rates/reset_barrier.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/rates/schedule.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/rates/service.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/rates/sources.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/rates/tiered.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/schemas.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/security/__init__.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/security/agent_protocol.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/security/browser.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/security/protocol.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/sensor_test_mode.py,test-or-simulator,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/services/__init__.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/services/bootstrap.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/services/log_exports.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/status_indicators.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/topology.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
server,backend/app/upload_limits.py,first-party-text,backend-api,inventory-reviewed; final subsystem gate pending,"inventory plus static analysis, compile/lint, and subsystem regression gates",No file-specific defect identified during subsystem audit.,None beyond applicable subsystem gates.
